accessibility,river_length,pr_tot,type
blocked,9807522.72052818,0.627068828198865,blocked
fisway_and_partial,1283062.1368775,0.0820358304135315,fisway_and_partial
free,4238797.68853285,0.271018275997142,free
through_fisway,310882.572483008,0.0198770653904608,through_fisway
