accessibility,river_length,pr_tot,type
blocked,10179233.5273399,0.65083510095686,blocked
fisway_and_partial,951906.910056839,0.0608625814747639,fisway_and_partial
free,3931797.44623491,0.251389437229164,free
through_fisway,577327.23478984,0.0369128803392117,through_fisway
